Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,28 Nov 2023
2,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,7500,12500,10000,27 Nov 2023
3,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,6500,10500,8500,24 Nov 2023
4,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,7500,12500,10000,23 Nov 2023
5,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,22 Nov 2023
6,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,21 Nov 2023
7,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,20 Nov 2023
8,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,18 Nov 2023
9,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,17 Nov 2023
10,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,16 Nov 2023
11,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,7500,12500,10000,15 Nov 2023
12,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,13 Nov 2023
13,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,10 Nov 2023
14,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,16000,13000,09 Nov 2023
15,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,16000,13000,08 Nov 2023
16,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,16000,13000,07 Nov 2023
17,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,06 Nov 2023
18,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,16000,13000,04 Nov 2023
19,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,16000,13000,03 Nov 2023
20,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,02 Nov 2023
21,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,16000,13000,31 Oct 2023
22,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,7500,12500,10000,30 Oct 2023
23,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,27 Oct 2023
24,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,26 Oct 2023
25,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,FAQ,8000,12000,10000,25 Oct 2023
26,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,21 Oct 2023
27,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,20 Oct 2023
28,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,8000,12000,10000,19 Oct 2023
29,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,18 Oct 2023
30,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,8000,12000,10000,17 Oct 2023
31,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,7500,12500,10000,16 Oct 2023
32,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,8000,14000,11000,13 Oct 2023
33,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,8000,12000,10000,12 Oct 2023
34,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,11 Oct 2023
35,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,16500,14500,10 Oct 2023
36,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,09 Oct 2023
