Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Agra,Agra,Orange,Orange,Medium,3900,4200,4060,23 Mar 2023
2,Agra,Agra,Orange,Orange,Medium,3800,4100,3950,21 Mar 2023
3,Agra,Agra,Orange,Orange,Medium,3800,4200,3980,20 Mar 2023
4,Agra,Agra,Orange,Orange,Medium,3900,4150,4000,18 Mar 2023
5,Agra,Agra,Orange,Orange,Medium,3900,4100,4000,17 Mar 2023
6,Agra,Agra,Orange,Orange,Medium,4100,4400,4230,15 Mar 2023
7,Agra,Agra,Orange,Orange,Medium,4100,4400,4225,14 Mar 2023
8,Agra,Agra,Orange,Orange,Medium,4100,4400,4250,10 Mar 2023
9,Agra,Agra,Orange,Orange,Medium,4100,4400,4260,09 Mar 2023
10,Agra,Agra,Orange,Orange,Medium,4150,4400,4260,07 Mar 2023
11,Agra,Agra,Orange,Orange,Medium,4100,4400,4260,06 Mar 2023
12,Agra,Agra,Orange,Orange,Medium,4150,4350,4250,02 Mar 2023
13,Agra,Agra,Orange,Orange,Medium,4150,4350,4250,28 Feb 2023
14,Agra,Agra,Orange,Orange,Medium,4150,4350,4250,27 Feb 2023
15,Agra,Agra,Orange,Orange,Medium,4150,4350,4250,25 Feb 2023
16,Agra,Agra,Orange,Orange,Medium,4150,4350,4250,24 Feb 2023
17,Agra,Agra,Orange,Orange,Medium,4150,4450,4230,23 Feb 2023
18,Agra,Agra,Orange,Orange,Medium,4250,4450,4350,22 Feb 2023
19,Agra,Agra,Orange,Orange,Medium,4250,4450,4350,21 Feb 2023
20,Agra,Agra,Orange,Orange,Medium,4250,4450,4340,20 Feb 2023
21,Agra,Agra,Orange,Orange,Medium,4250,4450,4360,18 Feb 2023
22,Agra,Agra,Orange,Orange,Medium,4250,4450,4350,17 Feb 2023
23,Agra,Agra,Orange,Orange,Medium,4200,4400,4300,16 Feb 2023
24,Agra,Agra,Orange,Orange,Medium,4200,4400,4300,15 Feb 2023
25,Agra,Agra,Orange,Orange,Medium,4400,4600,4520,20 Apr 2022
26,Agra,Agra,Orange,Orange,Medium,4420,4600,4510,19 Apr 2022
27,Agra,Agra,Orange,Orange,Medium,4400,4600,4500,18 Apr 2022
28,Agra,Agra,Orange,Orange,Medium,4400,4520,4460,16 Apr 2022
29,Agra,Agra,Orange,Orange,Medium,4400,4550,4470,15 Apr 2022
30,Agra,Agra,Orange,Orange,Medium,4350,4550,4450,14 Apr 2022
31,Agra,Agra,Orange,Orange,Medium,4350,4550,4460,13 Apr 2022
32,Agra,Agra,Orange,Orange,Medium,4400,4600,4480,12 Apr 2022
33,Agra,Agra,Orange,Orange,Medium,4400,4550,4470,11 Apr 2022
34,Agra,Agra,Orange,Orange,Medium,4350,4500,4460,09 Apr 2022
35,Agra,Agra,Orange,Orange,Medium,4350,4550,4450,08 Apr 2022
36,Agra,Agra,Orange,Orange,Medium,4350,4580,4450,07 Apr 2022
37,Agra,Agra,Orange,Orange,Medium,4300,4500,4400,06 Apr 2022
38,Agra,Agra,Orange,Orange,Medium,4300,4500,4400,05 Apr 2022
39,Agra,Agra,Orange,Orange,Medium,4250,4450,4350,04 Apr 2022
40,Agra,Agra,Orange,Orange,Medium,4200,4400,4300,02 Apr 2022
41,Agra,Agra,Orange,Orange,Medium,4000,4180,4110,31 Mar 2022
42,Agra,Agra,Orange,Orange,Medium,4000,4200,4120,30 Mar 2022
43,Agra,Agra,Orange,Orange,Medium,4000,4200,4100,29 Mar 2022
